x_launches_per_year,time_years,cost_millionUSD,emissions_MtCO2
5450,73.827981,11847584.913491,653.124862
5400,74.239050,11718614.951130,650.736080
5350,74.654722,11718614.951130,648.320549
5300,75.075075,11598793.478237,645.877815
5250,75.500189,11598793.478237,643.407418
5200,75.930144,11598793.478237,640.908884
5150,76.365025,11486657.627755,638.381730
5100,76.804916,11486657.627755,635.825461
5050,77.249903,11382837.543854,633.239571
5000,77.700078,11382837.543854,630.623543
4950,78.155530,11286091.505431,627.976846
4900,78.616352,11286091.505431,625.298939
4850,79.082641,11195562.989491,622.589265
4800,79.554495,11195562.989491,619.847255
4750,80.032013,11112024.856178,617.072329
4700,80.515298,11112024.856178,614.263889
4650,81.004455,11033939.897895,611.421324
4600,81.499593,11033939.897895,608.544010
4550,82.000820,10961024.491524,605.631304
4500,82.508251,10961024.491524,602.682550
4450,83.022001,10893696.327049,599.697073
4400,83.542189,10893696.327049,596.674185
4350,84.068937,10830698.430293,593.613178
4300,84.602369,10830698.430293,590.513325
4250,85.142614,10772060.834647,587.373883
4200,85.689803,10772060.834647,584.194087
4150,86.244071,10717756.651260,580.973157
4100,86.805556,10717756.651260,577.710286
4050,87.374399,10666952.746625,574.404653
4000,87.950748,10666952.746625,571.055409
3950,88.534750,10619821.375645,567.661687
3900,89.126560,10576041.675227,564.222594
3850,89.726335,10576041.675227,560.737214
3800,90.334237,10535090.403910,557.204607
3750,90.950432,10535090.403910,553.623806
3700,91.575092,10497228.281356,549.993819
3650,92.208391,10461950.493264,546.313624
3600,92.850511,10461950.493264,542.582173
3550,93.501636,10428957.425779,538.798387
3500,94.161959,10398559.550525,534.961158
3450,94.831674,10398559.550525,531.069346
3400,95.510984,10370147.417628,527.121777
3350,96.200096,10343646.867088,523.117244
3300,96.899225,10343646.867088,519.054506
3250,97.608590,10319190.456678,514.932284
3200,98.328417,10296320.582642,510.749263
3150,99.058940,10275061.956388,506.504086
3100,99.800399,10275061.956388,502.195359
3050,100.553042,10255384.131863,497.821644
3000,101.317123,10236986.447399,493.381459
2950,102.092905,10219944.901083,488.873277
2900,102.880658,10219944.901083,484.295525
2850,103.680664,10204121.975471,479.646579
2800,104.493208,10189331.492667,474.924765
2750,105.318589,10175680.879487,470.128357
2700,106.157113,10162966.334911,465.255573
2650,107.009096,10151084.055094,460.304575
2600,107.874865,10151084.055094,455.273463
2550,108.754758,10140158.637297,450.160277
2500,109.649123,10129949.334500,444.962993
2450,110.558320,10120440.865849,439.679519
2400,111.482720,10111674.082810,434.307692
2350,112.422709,10103482.888410,428.845278
2300,113.378685,10095881.914406,423.289966
2250,114.351058,10088852.257381,417.639365
2200,115.340254,10082285.873772,411.891003
2150,116.346713,10076215.813155,406.042321
2100,117.370892,10070584.190216,400.090669
2050,118.413262,10065325.202537,394.033304
2000,119.474313,10060482.990567,387.867384
1950,120.554551,10055975.808139,381.589964
1900,121.654501,10051769.979257,375.197993
1850,122.774708,10047910.000617,368.688306
1800,123.915737,10044306.607394,362.057621
1750,125.078174,10037873.704880,355.302533
1700,126.262626,10034996.229454,348.419508
1650,127.469726,10032332.367525,341.404876
1600,128.700129,10029872.307698,334.254826
1550,129.954516,10027577.435435,326.965400
1500,131.233596,10023501.938823,319.532480
1450,132.538105,10021674.259521,311.951789
1400,133.868809,10019997.050526,304.218876
1350,135.226504,10016985.935363,296.329108
1300,136.612022,10015656.996820,288.277664
1250,138.026225,10013270.487093,280.059524
1200,139.470014,10012216.337888,271.669456
1150,140.944327,10011234.439886,263.102008
1100,142.450142,10009493.997311,254.351496
1050,143.988481,10008717.095937,245.411987
1000,145.560408,10007344.665123,236.277293
950,147.167035,10006171.356595,226.940949
900,148.809524,10005651.825597,217.396205
850,150.489090,10004730.437869,207.636005
800,152.207002,10003945.291438,197.652968
750,153.964588,10003600.778834,187.439376
700,155.763240,10002987.327134,176.987150
650,157.604413,10002468.287906,166.287825
600,159.489633,10002030.933481,155.332536
550,161.420500,10001660.841561,144.111985
500,163.398693,10001348.442162,132.616422
450,165.425972,10001087.620915,120.835608
400,167.504188,10000868.794331,108.758794
350,169.635284,10000685.466172,96.374682
300,171.821306,10000532.985107,83.671392
250,174.064404,10000351.976483,70.636423
200,176.366843,10000257.920724,57.256614
150,178.731010,10000180.548430,43.518097
100,181.159420,10000090.696134,29.406250
50,183.654729,10000044.973689,14.905647
0,186.219739,10000000.000000,0.000000
